# Canonical alias for text-match-removal regression cases.

# suite|name|tags|prompt
chat_act|run_cmd_pwd_with_result_tail||执行 pwd，然后告诉我结果
chat_act|run_cmd_uname_with_result_tail_en||please run uname -a and tell me the result
chat_act|run_cmd_ls_then_explain||执行 ls scripts，然后用一句话告诉我这个目录大概放的是什么
chat_act|run_cmd_df_then_brief||执行 df -h，然后用大白话告诉我最需要关注哪一项
chat_act|run_cmd_whoami_scalar||执行 whoami，只输出结果，不要解释
act|fs_readme_head_summary_semantic||看看 README.md 开头讲了什么，读前 20 行后用三句话总结
act|fs_hidden_files_bool_semantic||帮我判断一下当前目录有没有隐藏文件，只回答有或没有，并举两个例子
act|fs_package_name_scalar_semantic||去 package.json 里找 name，只把值给我
chat_act|fs_service_semantic_explain||检查仓库里有没有 rustclaw.service；如果有，给路径并顺手解释它是干什么的
chat_act|fs_compare_readmes_semantic||比较 README.md 和 README.zh-CN.md 哪个更大，再解释为什么可能不同
chat_act|followup_extract_username_semantic||只输出当前用户名，不要解释
chat_act|followup_extract_hostname_semantic||只输出当前机器 hostname，不要解释
chat_act|followup_count_scripts_items_semantic||统计 scripts 目录下有多少个直接子项，只输出数字
chat_act|followup_logs_then_conclusion||列出 logs 目录最近修改的 3 个文件，再告诉我这更像是测试日志还是正式产物
chat_act|followup_logs_then_conclusion_en_variant||list the three most recently updated files in logs and then tell me whether these look more like test logs or production outputs
chat_act|followup_logs_then_conclusion_cn_variant_2||看一下 logs 里最新改动的三个文件，然后判断一下这更像测试日志还是正式运行产物
chat_act|followup_logs_then_conclusion_en_variant_2||check the latest three files under logs and tell me whether they look more like test logs or real runtime outputs
file|file_write_and_deliver_semantic_cn||写一个文本文件到 document/text_match_regression_note.txt，内容是 semantic routing regression note，然后把文件发给我
file|file_write_and_deliver_semantic_en||create a text file at document/text_match_regression_en.txt with content semantic command regression and send me the file
file|file_write_and_deliver_semantic_en_variant_2||make a text file at document/text_match_regression_en_2.txt with content parser fallback regression and send it to me as a file
failure|missing_file_graceful_cn_semantic||把 document/definitely_missing_text_match_case_001.txt 发给我
failure|missing_file_graceful_en_semantic||please send me document/definitely_missing_text_match_case_002.txt
failure|missing_file_graceful_cn_followup||把 document/definitely_missing_runtime_case_001.txt 发给我，不要贴内容
