# Canonical alias for natural-language manual cases.
# Keep this file name stable for future manual NL runs.

# suite|name|tags|prompt
chat|chat_weather_joke||今天天气先别查，给我讲一个简短冷笑话
act|act_pwd_only||只输出当前工作目录的绝对路径，不要解释
act|act_list_top_dirs||列出当前仓库顶层目录和文件，简单分组展示
act|act_hidden_files||检查当前目录有没有隐藏文件，只回答有或没有，并补 3 个例子
act|act_precise_file_count||精确统计当前目录下有多少个直接子项，只输出数字
act|act_read_readme_head||读取 README 的前 20 行并做 3 句话总结
chat_act|chat_act_compare_sizes||比较 Cargo.toml 和 Cargo.lock 哪个更大，顺手用一句通俗话解释原因
failure|missing_file_graceful|missing_file_graceful|把 definitely_missing_named_file_rustclaw_001.txt 发给我
file|write_and_deliver_hello|write_and_deliver|写一个 hello world shell 脚本，保存成 document/hello_from_manual_test.sh，然后把文件发给我
chat_act|chat_explain_repo_briefly||用非技术用户能听懂的话，简短解释这个仓库主要是干什么的
chat|chat_poem_short||写一首两句的打工人短诗
chat|chat_repo_pitch_plain||用大白话介绍一下 RustClaw，控制在 80 个字以内
chat|chat_translate_simple||把这句话翻成英文：现在服务已经恢复了
act|act_whoami_only||只输出当前用户名，不要解释
act|act_hostname_only||只输出当前机器 hostname
act|act_username_only_en||output only the current username, no explanation
act|act_hostname_only_en||output only the current machine hostname, no explanation
act|act_list_logs||列出 logs 目录下的前 10 个文件名，不要读内容
act|act_count_md_files||统计当前仓库顶层一共有多少个 .md 文件，只输出数字
act|act_find_service_file||检查仓库里有没有 rustclaw.service，只回答有或没有，并给出路径
act|act_read_service_head||读取 rustclaw.service 前 15 行，并用一句话说明它是干什么的
act|act_check_document_dir||列出 document 目录下有哪些文件，只输出文件名列表
act|act_count_document_items||统计 document 目录下直接子项数量，只输出数字
act|act_check_scripts_hidden||检查 scripts 目录里有没有隐藏文件，只回答有或没有
act|act_read_agents_head||读取 AGENTS.md 前 30 行，提炼 3 条最重要规则
act|act_find_recent_logs||列出 logs 目录最近修改的 5 个文件，按新到旧输出
act|act_show_package_json_name||读取 package.json 里的 name 字段，只输出值
act|act_show_cargo_package_name||读取 Cargo.toml 的 package.name，只输出值
act|act_count_rs_files||统计 crates/clawd/src 下有多少个 .rs 文件，只输出数字
act|act_find_restart_script||检查 scripts 目录里有没有 restart_clawd_latest.sh，有就给路径
chat_act|chat_act_disk_usage_brief||查看当前磁盘使用情况，然后用一句大白话告诉我最该担心哪一项
chat_act|chat_act_list_then_explain_docs||列出 docs 目录下的文件，再用一句话解释这些文档大概是干什么的
chat_act|chat_act_show_readme_then_summary||读取 README 开头内容，再用非技术用户能听懂的话做一句总结
chat_act|chat_act_compare_readmes||比较 README.md 和 README.zh-CN.md 哪个更大，并顺手解释为什么可能不同
chat_act|followup_logs_then_conclusion||列出 logs 目录最近修改的 3 个文件，再告诉我这更像是测试日志还是正式产物
chat_act|chat_act_hidden_files_brief||检查当前目录隐藏文件是否存在，再用一句话解释隐藏文件通常是干什么的
file|write_and_deliver_note|write_and_deliver|写一个文本文件到 document/manual_note.txt，内容是 RustClaw manual test note，然后把文件发给我
file|write_and_deliver_json|write_and_deliver|生成一个 JSON 文件 document/manual_meta.json，内容包含 app=RustClaw 和 test=nl，然后把文件发给我
file|file_write_and_deliver_runtime_followup_en||create a text file at document/runtime_delivery_followup_en.txt with content runtime delivery followup and send me the file
failure|missing_readme_variant|missing_file_graceful|把 definitely_missing_named_file_rustclaw_user_ops_24686.md 发给我
failure|missing_shell_script|missing_file_graceful|把 document/definitely_missing_shell_001.sh 发给我
failure|missing_file_graceful_cn_followup||把 document/definitely_missing_runtime_case_001.txt 发给我，不要贴内容
failure|missing_file_graceful_en_followup||send me document/definitely_missing_runtime_case_002.txt and do not paste the content
act|act_hidden_files_plain_cn||看看这里有没有点开头的隐藏项，只给结论和两个例子
act|act_hidden_files_plain_en||check whether this folder has dotfiles; answer briefly with yes or no plus two examples
act|act_pwd_variant_cn||帮我看一下我现在所在目录，直接给绝对路径
act|act_hostname_variant_en||what machine am I on right now? just print the hostname
act|act_package_name_variant_cn||帮我从 package.json 里把 name 那个值抠出来，别带别的
chat_act|chat_act_docs_variant_cn||看一下 docs 目录里都是什么，再用一句人话解释用途
chat_act|chat_act_readme_variant_en||read the beginning of README.md and explain it in one plain sentence for a non-technical user
chat_act|chat_act_df_variant_en||check disk usage and tell me in plain English which place looks the most risky
file|write_and_deliver_note_variant_cn|write_and_deliver|写个文本文件到 document/manual_note_variant.txt，内容是 manual note variant，然后把文件发给我
failure|missing_file_variant_en|missing_file_graceful|send me document/definitely_missing_manual_variant_001.txt
